id_permiso;id_permiso_relacionada;contexto;valor;descripcion;id_tipo_permiso
70;;PROFILE.CPB;/module/profile/createpublic;URI para crear un nuevo registro de Perfil accesable por todos las Apps (admin-Dothr);1
71;;PROFILE.CPV;/module/profile/createprivate;URI para crear un nuevo registro de Perfil accesable por solo por App Propietaria;1
72;;PROFILE.D;/module/profile/delete;URI para eliminar un registro de Perfil;1
73;;PROFILE.G;/module/profile/get;URI para obtener un registro de Perfil;1
74;;PROFILE.R;/module/profile/read;URI para leer nuevo registro de Perfil;1
75;;PROFILE.U;/module/profile/update;URI para actualizar un registro de Perfil;1
76;;PROFILETEX.C;/module/profile/textcreate;URI para crear un nuevo registro de Texto Ngram;1
77;;PROFILETEX.D;/module/profile/textdelete;URI para eliminar un registro de Texto Ngram;1
78;;PROFILETEX.G;/module/profile/textget;URI para obtener listado de Texto Ngram;1
79;;PROFILETEX.U;/module/profile/textupdate;URI para actualizar un registro de Texto Ngram;1
80;;RECLASIFY.T;/module/task/reClassification;URI para Iniciar un proceso de reclasificación en Solr;1
81;;RECLASSDOCS.LD;/admin/management/lastDateReclassDocs;URI para obtener última fecha del proceso de reclasificacion de CVs;1
82;;RELOADCORESOLR.LD;/admin/management/lastDateReLoadCoreSolr;URI para obtener última fecha del proceso reload core solr;1
83;;RELOADCORESOLR.T;/module/task/reloadCoreSolr;URI para aplicar el proceso Reload Core Solr;1
84;;REMODELING.LD;/admin/management/lastDateRemodel;URI para obtener última fecha del proceso de remodelación;1
85;;REMODELING.T;/module/task/reModel;URI para Iniciar un proceso de Remodelación de DocumentosClasificados Solr;1
86;;REPORT.C;/module/report/create;URI para generación de Reporte/Archivo/PDF dependiendo sus parámetros;1
87;;ROL.G;/admin/rol/get;URI para obtener un listado de roles;1
88;;ROL.AP;/admin/rol/assignPerms;URI para actualizar el campo de activo;1
89;;ROL.C;/admin/rol/create;URI. Crea nuevo registro de Rol;1
90;;ROL.U;/admin/rol/update;URI. Actualiza registro de Rol;1
91;;ROL.D;/admin/rol/delete;URI. Elimina registro de Rol;1
92;;SETTLEMENT.C;/module/settlement/create;URI para actualizar un registro de;1
93;;SYNCDOCS.LD;/admin/management/lastDateSyncDocs;URI para obtener última fecha del proceso de sincronización de documentos;1
94;;SYNCHRONIZE.T;/module/task/syncClassDocs;URI para Iniciar un proceso de Sincronización de DocumentosClasificados Solr-DB;1
95;;TIPOPERMISO.G;/admin/tipoPermiso/get;URI para obtener un listado de tipo permiso;1
96;;TOKENUPLOAD.C;/module/classify/loadTokens;URI para crear documentos por medio de palabras clave y subirlos a Solr;1
97;;VACANCY.C;/module/vacancy/create;URI para crear un nuevo registro de posición;1
98;;VACANCY.CL;/module/vacancy/clone;URI para clonar los registros asociados a una posición;1
99;;VACANCY.D;/module/vacancy/delete;URI para eliminar un registro de posición;1
100;;VACANCY.DC;/module/vacancy/dataconf;URI que obtiene dataconf de posición;1
101;;VACANCY.G;/module/vacancy/get;URI para obtener registro(s) de posición;1
102;;VACANCY.P;/module/vacancy/setVacancyPublication;URI para publicar una posición;1
103;;VACANCY.R;/module/vacancy/read;URI para leer un registro de posición;1
104;;VACANCY.U;/module/vacancy/update;URI para actualizar un registro de posición;1
105;;VACANCYTEXT.C;/module/vacancyText/create;URI para crear un nuevo registro de función o texto asociado al perfil;1
106;;VACANCYTEXT.D;/module/vacancyText/delete;URI para eliminar un registro de función o texto asociado al perfil;1
107;;VACANCYTEXT.U;/module/vacancyText/update;URI para actualizar un registro de función o texto asociado al perfil;1
108;;WORKEXP.C;/module/workExperience/create;URI para crear un nuevo registro de Experiencia laboral;1
109;;WORKEXP.D;/module/workExperience/delete;URI para eliminar un registro de Experiencia laboral;1
110;;WORKEXP.G;/module/workExperience/get;URI para obtener listado de Experiencia laboral;1
111;;WORKEXP.U;/module/workExperience/update;URI para actualizar un registro de Experiencia laboral;1
112;;DOCUMENT.FCR;/module/compensationf/read;URI read;1
113;;DOCUMENT.FCC;/module/compensationf/create;URI creación de UriCode/Permiso;1
114;;DOCUMENT.FCU;/module/compensationf/update;Uri Update;1
115;;DOCUMENT.FCD;/module/compensationf/delete;Uri Delte;1
