63;;MODELRSC.G;/module/modeloRsc/get;URI Listado de Plantilla Tracking;1
64;;MODELRSC.R;/module/modeloRsc/read;URI Lectura de Plantilla Tracking;1
65;;MODELRSC.U;/module/modeloRsc/update;URI Actualización de Plantilla Tracking;1
66;;MODELRSCPOS.C;/module/modeloRscPos/create;URI Pruebas TRACKING Create;1
67;;MODELRSCPOS.D;/module/modeloRscPos/delete;URI Pruebas TRACKING Delete;1
68;;MODELRSCPOS.G;/module/modeloRscPos/get;URI Pruebas TRACKING GET;1
69;;MODELRSCPOS.R;/module/modeloRscPos/read;URI Pruebas TRACKING Read;1
70;;MODELRSCPOS.U;/module/modeloRscPos/update;URI Pruebas TRACKING Update;1
71;;MODELRSCPOSF.C;/module/modeloRscPosFase/create;Servicio que Inserta un registro de Modelo_Rsc_Posicion_Fase;1
72;;MODELRSCPOSF.D;/module/modeloRscPosFase/delete;Servicio que elimina un registro solo si es modelo principal;1
73;;MODELRSCPOSF.U;/module/modeloRscPosFase/update;Servicio que modifica un registro de Modelo_Rsc_Posicion_Fase;1
74;;MONITOR.C;/module/monitor/create;Se crean registros en la tabla monitor;1
75;;MONITOR.D;/module/monitor/delete;Se eliminan los registros en la tabla monitor y aquellos relacionados en la tabla tracking_monitor;1
76;;MONITOR.G;/module/monitor/get;Se obtienen los idPersona distintas con registros en la tabla monitor por posición;1
77;;MONITOR.U;/module/monitor/update;Se Actualizan registros en la tabla monitor por personas solicitadas;1
78;;NOTIFICATION.G;/module/notification/get;URI para obtener lista de Notificaciones;1
79;;PERMISSION.C;/admin/permission/create;URI creación de UriCode/Permiso;1
80;;PERMISSION.D;/admin/permission/delete;URI Eliminación de Permiso;1
81;;PERMISSION.G;/admin/permission/get;URI para procesar una petición de Get de permisos por Rol;1
82;;PERMISSION.U;/admin/permission/update;URI para procesar una petición de UPDATE de relación persona-permiso;1
83;;PERSCERT.C;/module/personCert/create;URI Crear un registro de Certificación Persona;1
84;;PERSCERT.D;/module/personCert/delete;URI Eliminar un registro de Certificación Persona;1
85;;PERSCERT.U;/module/personCert/update;URI Actualizar un registro de Experiencia Certificación Persona;1
86;;PERSKILL.C;/module/personSkill/create;URI para crear un registro de contacto;1
87;;PERSKILL.D;/module/personSkill/delete;URI para eliminar un registro de contacto;1
88;;PERSKILL.U;/module/personSkill/update;URI para crear un registro de contacto;1
89;;PERSON.D;/module/curriculumManagement/delete;URI para borrar un registro de persona;1
90;;PERSON.G;/module/curriculumManagement/get;URI para obtener listado de personas según parametros;1
91;;PERSON.P;/module/applicant/setResumePublication;URI para publicar un cv personal;1
92;;PERSON.PW;/admin/management/updpwd;URI para reemplazar la contraseña de acceso;1
93;;PERSON.R;/module/curriculumManagement/read;URI para obtener un registro de persona;1
94;;PERSON.TR;/module/curriculumManagement/tracking;URI para obtener procesos de persona;1
95;;PERSON.U;/module/curriculumManagement/update;URI para actualizar un registro existente de persona;1
96;;PLAN.C;/module/plan/create;URI para crear un nuevo registro de Plan;1
97;;PLAN.D;/module/plan/delete;URI para eliminar un registro de Plan;1
98;;PLAN.R;/module/plan/read;URI para obtener un registro de Plan;1
99;;PLAN.U;/module/plan/update;URI para actualizar un registro de Plan;1
100;;POSITIONCERT.C;/module/positionCert/create;URI Crear un registro de Certificación Posición;1
101;;POSITIONCERT.D;/module/positionCert/delete;URI Eliminar un registro de Certificación Posición;1
102;;POSITIONCERT.U;/module/positionCert/update;URI Actualizar un registro de Experiencia Certificación Posición;1
103;;POSITIONCOMPETENCE.U;/module/positionCompet/update;URI Actualizar un registro de Competencia Posición;1
104;;POSITIONSKILL.C;/module/positionSkill/create;URI para procesar una petición de CREATE de Habilidad Posición;1
105;;POSITIONSKILL.D;/module/positionSkill/delete;URI para procesar una petición de DELETE de Habilidad Posición;1
106;;POSITIONSKILL.G;/module/positionSkill/get;URI para procesar una petición de GET de Habilidad Posición;1
107;;POSITIONSKILL.U;/module/positionSkill/update;URI para procesar una petición de UPDATE de Habilidad Posición;1
108;;POSTULANT.G;/module/postulante/get;Listado de Candidatos/pre-candiatos;1
109;;POSTULANT.U;/module/postulante/update;actualización de Candidatos/pre-candiatos;1
110;;PROFILE.A;/module/profile/updateAssociation;URI para procesar una asociación entre posición y perfil;1
111;;PROFILE.CPB;/module/profile/createpublic;URI para crear un nuevo registro de Perfil accesable por todos las Apps (admin-Dothr);1
112;;PROFILE.CPV;/module/profile/createprivate;URI para crear un nuevo registro de Perfil accesable por solo por App Propietaria;1
113;;PROFILE.D;/module/profile/delete;URI para eliminar un registro de Perfil;1
114;;PROFILE.G;/module/profile/get;URI para obtener un registro de Perfil;1
115;;PROFILE.R;/module/profile/read;URI para leer nuevo registro de Perfil;1
116;;PROFILE.U;/module/profile/update;URI para actualizar un registro de Perfil;1
117;;PROFILETEX.C;/module/profile/textcreate;URI para crear un nuevo registro de Texto Ngram;1
118;;PROFILETEX.D;/module/profile/textdelete;URI para eliminar un registro de Texto Ngram;1
119;;PROFILETEX.G;/module/profile/textget;URI para obtener listado de Texto Ngram;1
120;;PROFILETEX.U;/module/profile/textupdate;URI para actualizar un registro de Texto Ngram;1
121;;RECLASIFY.T;/module/task/reClassification;URI para Iniciar un proceso de reclasificación en Solr;1
122;;RECLASSDOCS.LD;/admin/management/lastDateReclassDocs;URI para obtener última fecha del proceso de reclasificacion de CVs;1
123;;REFERENCE.C;/module/reference/create;URI para crear un nuevo registro de Referencia;1
124;;REFERENCE.D;/module/reference/delete;URI para eliminar un registro de Referencia;1
125;;REFERENCE.R;/module/reference/read;URI para obtener un registro de Referencia;1
126;;REFERENCE.U;/module/reference/update;URI para actualizar un registro de Referencia;1
127;;RELOADCORESOLR.LD;/admin/management/lastDateReLoadCoreSolr;URI para obtener última fecha del proceso reload core solr;1
128;;RELOADCORESOLR.T;/module/task/reloadCoreSolr;URI para aplicar el proceso Reload Core Solr;1
129;;REMODELING.LD;/admin/management/lastDateRemodel;URI para obtener última fecha del proceso de remodelación;1
130;;REMODELING.T;/module/task/reModel;URI para Iniciar un proceso de Remodelación de DocumentosClasificados Solr;1
131;;REPORT.C;/module/report/create;URI para generación de Reporte/Archivo/PDF dependiendo sus parámetros;1
132;;ROL.AP;/admin/rol/assignPerms;URI para actualizar el campo de activo;1
133;;ROL.C;/admin/rol/create;URI. Crea nuevo registro de Rol;1
134;;ROL.D;/admin/rol/delete;URI. Elimina registro de Rol;1
135;;ROL.G;/admin/rol/get;URI para obtener un listado de roles;1
136;;ROL.U;/admin/rol/update;URI. Actualiza registro de Rol;1
137;;SALARY.C;/module/salary/create;URI para crear un nuevo registro de Salario;1
138;;SALARY.D;/module/salary/delete;URI para eliminar un registro de Salario;1
139;;SALARY.R;/module/salary/read;URI para obtener un registro de Salario;1
140;;SALARY.U;/module/salary/update;URI para actualizar un registro de Salario;1
